KEYS|QA|DEV|PREPROD|PROD
DATASET|SET2|SET1|SET1|SET2
CUST_SSN|$SSN$|$SSN$|$SSN$|$SSN$
CUST_FIRST_NAME|ATCust|ATCust|ATCust|ATCust
CUST_LAST_NAME|[%CUST_SSN%]|[%CUST_SSN%]|[%CUST_SSN%]|[%CUST_SSN%]
CUST_FULL_NAME|[concat, ,%CUST_FIRST_NAME%,%CUST_LAST_NAME%]|[concat, ,%CUST_FIRST_NAME%,%CUST_LAST_NAME%]|[concat, ,%CUST_FIRST_NAME%,%CUST_LAST_NAME%]|[concat, ,%CUST_FIRST_NAME%,%CUST_LAST_NAME%]
CUST_TYPE|personal|personal|personal|personal
CUST_STREET_NAME|Test str.|Test str.|Test str.|Test str.
CUST_STREET_NUMBER|1|1|1|1
CUST_FLAT_NUMBER|4|4|4|4
CUST_FLOOR_NUMBER|2|2|2|2
CUST_POSTAL_CODE|10005|10005|10005|10005
CUST_COUNTRY|SVERIGE|SVERIGE|SVERIGE|SVERIGE
CUST_EMAIL|[concat,.,%CUST_FIRST_NAME%,%CUST_LAST_NAME%@tieto.com]|[concat,.,%CUST_FIRST_NAME%,%CUST_LAST_NAME%@tieto.com]|[concat,.,%CUST_FIRST_NAME%,%CUST_LAST_NAME%@tieto.com]|[concat,.,%CUST_FIRST_NAME%,%CUST_LAST_NAME%@tieto.com]
CUST_PHONE|12345778|12345778|12345778|12345778
TODAY|$date$|$date$|$date$|$date$
CAMP_NAME_STR|AT_CAMP|AT_CAMP|AT_CAMP|AT_CAMP
CAMP_NAME|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]
CAMP_CODE_STR|AT_CAMP|AT_CAMP|AT_CAMP|AT_CAMP
CAMP_CODE|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]|[concat,_,%CAMP_NAME_STR%,%CUST_CODE%]
CAMP_START_DATE|[today,date,-3,m]|[today,date,-3,m]|[today,date,-3,m]|[today,date,-3,m]
CAMP_END_DATE|[today,date,1,y]|[today,date,1,y]|[today,date,1,y]|[today,date,1,y]
CAMP_CATEGORY|1|4|4|1
RESPONSE_DUE_DATE_INTERNAL|$date$|$date$|$date$|$date$
RESPONSE_DUE_DATE_EXTERNAL|$date$|$date$|$date$|$date$
VERSION_DATE|[today,date,-3,y]|[today,date,-3,y]|[today,date,-3,y]|[today,date,-3,y]
PRICE_DATE|[today,date,-30,days]|[today,date,-30,days]|[today,date,-30,days]|[today,date,-30,days]
GRID_AREA|SML|GBG|GBG|SML
STANDARD_CONTRACT1|1876|2782|2782|1876
STANDARD_CONTRACT2||||
STANDARD_CONTRACT3||||
STANDARD_CONTRACT4||||
STANDARD_CONTRACT5||||
MKT_LIST_STR|ATML|ATML|ATML|ATML
MKT_LIST_NAME|[concat,_,%MKT_LIST_STR%,%CUST_CODE%]|[concat,_,%MKT_LIST_STR%,%CUST_CODE%]|[concat,_,%MKT_LIST_STR%,%CUST_CODE%]|[concat,_,%MKT_LIST_STR%,%CUST_CODE%]
LEAD_FIRST_NAME|ATLead|ATLead|ATLead|ATLead
LEAD_LAST_NAME|$SSN$|$SSN$|$SSN$|$SSN$
LEAD_TYPE|Residential|Residential|Residential|Residential
LEAD_LANGUAGE|sv|sv|sv|sv
LEAD_FULL_NAME|[concat, ,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%]|[concat, ,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%]|[concat, ,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%]|[concat, ,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%]
LEAD_EMAIL|[concat,.,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%@tieto.com]|[concat,.,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%@tieto.com]|[concat,.,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%@tieto.com]|[concat,.,%LEAD_FIRST_NAME%,%LEAD_LAST_NAME%@tieto.com]
LEAD_MAIN_PHONE|985632145874|5452365478|6598741236|
LEAD_ADDITIONAL_PHONE1|452369874|1235478965|5698745213|
LEAD_ADDITIONAL_PHONE2|23658974|456987452|369852147|
LEAD_COUNTRY_CODE|SE|SE|SE|SE
RESTRICTION_CODE_1|PERSONALIZED_MARKETING|||
RESTRICTION_VALUE_1|true|||
RESTRICTION_CODE_2|PROFILING|||
RESTRICTION_VALUE_2|false|||
EDI_ACTIONDATE|$date$|$date$|$date$|$date$
EDI_CREATION_DATE|$date$|$date$|$date$|$date$
